n_components,n_neighbors,min_dist,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
5,1000,0.0,0.9780587717918282,0.9583508988458733,0.982158561047262,1.0,0.1415325637650726,0.6191567346711024,109.30876737600192,45.912469444971066
6,5,0.0,0.9839508416400898,0.9672686083263018,0.9897183584814843,0.9672142857142857,0.26081567533029026,0.6379062105058968,17.649937308044173,47.28728544502519
6,50,0.0,0.981281963016461,0.9634796747851208,0.9836136381807516,0.9983285714285713,0.1428658985449822,0.6204684939188767,30.653700075985398,46.443987046019174
6,500,0.0,0.9794436980678747,0.9589771019550076,0.9826693318867702,0.9999142857142856,0.1283239541239836,0.6167979415948763,70.76479093899252,46.503470480965916
6,1000,0.0,0.9790063155184989,0.9591416000457647,0.9819507905288707,1.0,0.17903751095134143,0.6270469271973469,108.57719583302969,46.47855769196758
7,5,0.0,0.9848403343678046,0.9673642406647313,0.9896831210507945,0.9644,0.3123273674515985,0.6478497642866681,17.70850111800246,46.82823701296002
7,50,0.0,0.981103222115756,0.9577877608226192,0.9832763795578517,0.9987571428571429,0.1836636285385632,0.6276070749552459,29.664398808963597,46.364373968041036
7,500,0.0,0.9801422493314074,0.9567887662142642,0.9817412545596479,0.9999142857142856,0.21144448605488528,0.633309706551039,68.91816171701066,47.422121785988566
7,1000,0.0,0.9800419690230683,0.9593558643078816,0.9808856644686483,1.0,0.2583832208148004,0.6433790779354205,108.5823348829872,46.68775184097467
8,5,0.0,0.9853457188621769,0.9680424881655535,0.9896508798977998,0.9657,0.23801187867293208,0.6334898411605726,18.459542825003155,46.893998718005605
8,50,0.0,0.9824143543612259,0.9542891123092545,0.9831744968880013,0.9983571428571429,0.17340499189864256,0.625058220907653,29.788450415013358,47.00575666001532
8,500,0.0,0.9800090113410466,0.9541150780143872,0.9813963612517992,0.9999142857142856,0.25405282144934266,0.6413389670534526,71.00535558804404,46.23203984601423
8,1000,0.0,0.9795985212304964,0.9585869685225177,0.9814042169717487,1.0,0.16218931756665206,0.6237941180695836,105.1774403169984,46.10139844100922
9,5,0.0,0.9852369878294696,0.9690755831414556,0.9896012732601599,0.9698857142857141,0.3018705930288533,0.6472935210050665,17.659892936993856,46.25381603301503
9,50,0.0,0.9821201164137694,0.9539555797091086,0.9837987214251246,0.9985142857142857,0.1933273844893541,0.6288237289802787,29.85407588997623,47.158033557003364
9,500,0.0,0.9802104729488151,0.9572830156028774,0.980429347377605,0.9999142857142856,0.23086589460432055,0.6375688642985388,73.11354981700424,47.054467055015266
9,1000,0.0,0.980308038842727,0.9554450195214736,0.9814524805485817,1.0,0.1415515473304993,0.6191704250292237,110.04043653502595,46.70241572300438
10,5,0.0,0.9855978504926848,0.9646801310012443,0.9896339084654421,0.9670714285714286,0.27697921972703154,0.6409389442653894,18.372125592955854,47.3428700780496
10,50,0.0,0.9825832515767344,0.9534043147462209,0.9834947394256144,0.9983714285714286,0.16819161813750066,0.623811174721254,30.910063182003796,46.5248861379805
10,500,0.0,0.9798451339330406,0.9545667205354461,0.9816922978154058,0.9998857142857143,0.23705396931955267,0.6379318480516696,72.0965152370045,47.09915599197848
10,1000,0.0,0.9804310999242023,0.9554128713012886,0.9809779903011555,1.0,0.15735486679995503,0.6224441695448582,109.47681782901054,46.93654799100477
50,5,0.0,0.9867771863335383,0.9703062268495345,0.9896813733735319,0.968757142857143,0.29283819613801765,0.6457994757609403,19.394354551972356,46.18495038698893
50,50,0.0,0.9834673183358837,0.9620883328804543,0.983753451743667,0.9983571428571427,0.19474524796163412,0.6309809180582895,31.80630277498858,47.98147943499498
50,500,0.0,0.9814203538177709,0.955805385924517,0.9808560687403294,0.9999142857142856,0.2366814876689364,0.6385930888770361,77.57284783700015,45.96420515101636
