n_components,n_neighbors,eigen_solver,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
6,1,dense,0.5273837950316778,0.5997153325801239,0.9838998979857663,0.27344285714285704,0.08628912041818337,0.3005862414374152,212.8875253379956,48.70484489700175
6,2,dense,0.9723524176594254,0.980013580653004,36.70253592664776,0.9038,0.6034323175796767,0.6919196631784212,243.47576743700483,49.06065942799614
6,3,dense,0.9773272156515024,0.9903085379631881,14.275430922142133,0.9058571428571428,0.67661174421465,0.7100209281372968,245.25902037900232,51.92941350801266
6,4,dense,0.9767156815354032,0.9935601118373067,9.08677044061032,0.8928714285714286,0.7015087597908986,0.7129311963470075,248.2394795040018,49.869616893003695
6,5,dense,0.9792834174735066,0.995326516310799,6.814539987374225,0.8970142857142857,0.716606990511847,0.7176462420020876,246.37106087998836,47.12136475900479
6,6,dense,0.9805834017419162,0.9964915120918725,5.503040713439517,0.8983714285714286,0.7366000161929444,0.7224092717196324,248.39970658600214,46.85667793599714
6,7,dense,0.9821747507973057,0.9972862949244169,4.643134172117294,0.8961714285714286,0.7490542476710007,0.7249373443928304,247.2973541399988,46.589700493001146
6,8,dense,0.9826039958239778,0.9971078543540752,4.026968954028743,0.8948714285714287,0.7575601955047074,0.7264286948508378,250.05327994799882,46.7483065869892
6,9,dense,0.9819241508516511,0.9968873503711225,3.510746753827262,0.8920857142857141,0.7648774977659739,0.7271549426548924,250.84825463499874,46.59720499200921
7,1,dense,0.527475525935672,0.5997061810849077,0.9803945733653353,0.2734428571428571,0.08657461277664558,0.30136092071494947,201.84808715198596,46.4478446089779
7,2,dense,0.9788047795432118,0.9811246356706663,39.80418920055728,0.9160714285714286,0.6059045718133887,0.6963810831197392,232.11409976598225,46.51769713801332
7,3,dense,0.9828890164895671,0.9911502166669051,15.566779428459602,0.9187,0.6861779838937871,0.7157834434100518,238.28887204098282,46.73402331999387
7,4,dense,0.9846415242481015,0.9943635255924373,9.982187860850589,0.9117285714285713,0.7124327130639228,0.7206332668666066,241.23212413600413,47.40666764299385
7,5,dense,0.9866337571328462,0.9960332737439755,7.523583133446658,0.911142857142857,0.7281574320221676,0.7243934640083693,244.92513260099804,47.32336819000193
7,6,dense,0.9860045392789211,0.9970405846431074,6.1082313873104574,0.9073,0.7388920168874114,0.725847428161888,246.6758911020006,46.99032952202833
7,7,dense,0.9866749195543669,0.9978484361368934,5.152672735224243,0.9030285714285714,0.7527846672511502,0.7280673188741965,248.18860391600174,48.028168672986794
7,8,dense,0.9872447048896643,0.9977342505327289,4.467997480037302,0.9022142857142856,0.762546535363084,0.7299479552999526,249.61176805797732,46.61674369499087
7,9,dense,0.9870946197960614,0.9975507343792458,3.91177445763208,0.899457142857143,0.7691124750348143,0.7306429944134529,253.19286600200576,46.61623218402383
8,1,dense,0.5286058693133876,0.5997040344378817,0.9768390729262431,0.27495714285714284,0.08614806691569367,0.30251520811957255,199.95559818099719,46.379619661020115
8,2,dense,0.982648340317206,0.9816356148906654,42.52064359641897,0.921,0.6111150034058405,0.6992797917227423,232.6375944359752,46.31929323601071
8,3,dense,0.9868809747865509,0.991694107804299,16.68815393589106,0.9248714285714287,0.6898825716276124,0.7186658165579782,237.76132033899194,46.600841128994944
8,4,dense,0.9883602176680062,0.9948618780658725,10.759667479073027,0.9210857142857143,0.7196710179311978,0.7247957655901582,241.49519194001914,46.408711869997205
8,5,dense,0.9890685654219642,0.9964308939833817,8.120007701832813,0.9210857142857143,0.7364311710874158,0.7286032689556953,242.064304687985,46.40779438300524
8,6,dense,0.9891668707006278,0.9974354976188092,6.60159650357076,0.9192857142857143,0.7509889309642229,0.7313754027138749,242.50834202900296,46.589006762980716
8,7,dense,0.9896360439340417,0.9982332980564335,5.584233835125626,0.916342857142857,0.7648781149398568,0.7338180628146378,246.90003342798445,46.7839473990025
8,8,dense,0.989984910544456,0.9981536819072409,4.847740416275167,0.9158571428571427,0.774807194024957,0.7357605858667594,250.62808890201268,46.61037393598235
8,9,dense,0.9906316791327603,0.9980324127969338,4.276617919296248,0.9150857142857143,0.7824168080970607,0.7372333228624939,251.83802630298305,46.4952579960227
9,1,dense,0.5289316605408807,0.5994354904680863,0.9747948519670107,0.27442857142857136,0.08606022948926824,0.3028122199919592,201.71967719699023,46.5852238489897
9,2,dense,0.9839886446519743,0.9815061410408592,44.705165078028344,0.922042857142857,0.6115138872273055,0.6998103060125992,232.0033030330087,46.50937718898058
9,3,dense,0.9887478140239978,0.9920609027072637,17.627665753708584,0.9265857142857145,0.6957736666231944,0.7206336195280341,240.3436756709998,46.548852670006454
9,4,dense,0.9902918281538263,0.9951116056233286,11.399329976440992,0.9248428571428573,0.7246297225059853,0.7269752026851997,247.50076938400161,48.23741294798674
9,5,dense,0.9911412139067259,0.9967372609870858,8.602854017531829,0.924442857142857,0.7395619832485612,0.730376663057046,277.19565670299926,50.95537192799384
