n_components,n_neighbors,n_jobs,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
9,4,-1,0.9408983667748809,0.8962453541753072,0.999946313882,0.9147,0.172624940322,0.584904469478,71.26856586900067,89.46595461300058
9,5,-1,0.9425607882956967,0.9104578665103042,0.999937670062,0.913414285714,0.171859536897,0.587670961471,74.94304731500051,91.12080213199988
9,6,-1,0.9440969366302934,0.9190612116184946,0.999930140217,0.916071428571,0.179936893004,0.591847265921,77.73383144099898,91.3072622719992
9,7,-1,0.9457041402685812,0.926019538635356,0.999923414664,0.914528571429,0.183821693438,0.594030105821,78.08851817199866,89.53868093200072
9,8,-1,0.9469294338057578,0.9317579523189794,0.999916839181,0.916157142857,0.183465561449,0.59567865025,80.04872192099901,89.74007886000072
9,9,-1,0.9481492927935015,0.9353038914234229,0.999911161919,0.915071428571,0.185191090116,0.596760908197,81.53574321299857,93.51598660300078
10,1,-1,0.5018416043361984,0.500962497318479,0.999988565477,0.230357142857,-0.00713237222513,0.2466345358,45.81726402700042,92.99539549899964
10,2,-1,0.6606802754458476,0.5785628462737583,0.999971462716,0.486814285714,-0.0210692113532,0.3452171889,70.06682024200018,89.02321681300054
10,3,-1,0.92470348526236,0.8527612874161578,0.999959857659,0.890714285714,0.182208381667,0.57008551648,70.95658498199919,90.27012876499975
10,4,-1,0.9418556698082177,0.8977420677030448,0.999943433484,0.915728571429,0.153726333881,0.581821841867,71.95441787299933,90.72295262899934
10,5,-1,0.9452939318965148,0.9109729044806429,0.999934721236,0.920157142857,0.147511345669,0.584800120734,75.32678978600052,90.87387351399957
10,6,-1,0.9469687599216281,0.9197925146232284,0.999926745289,0.919685714286,0.14739726968,0.586783502644,77.78759455699947,89.34805904600034
10,7,-1,0.9484015774494802,0.926349360010297,0.999919801882,0.918257142857,0.150647683651,0.588747192417,77.3771674719992,91.13199673000054
10,8,-1,0.9506864136264176,0.9321987300316061,0.999912810848,0.9185,0.149852786103,0.590265023783,79.6546110349991,91.49592514699907
10,9,-1,0.9514068890064785,0.9361149550219527,0.999906461782,0.917742857143,0.15718902203,0.592509452284,81.4211983690002,90.5090315590005
50,1,-1,0.4998298085036398,0.4976257912274932,0.999962174057,0.230114285714,0.000134782523992,0.245548498783,48.136455141000624,101.69545787599964
50,2,-1,0.7243520701342906,0.5754891165996883,0.999937020617,0.586185714286,-0.0582897499877,0.3772179761,108.32366150900089,101.55389216099866
50,3,-1,0.9637250747250548,0.8590624873074668,0.999904496259,0.920714285714,0.0636842490615,0.56145632011,75.90880963499876,96.40651774500293
50,4,-1,0.970450265291821,0.8916621011684281,0.999871206056,0.934071428571,0.0580381988595,0.570870157567,76.20918626699859,93.8883903240021
50,5,-1,0.9716746521173291,0.9081870457503254,0.999850411841,0.938185714286,0.0351239007468,0.570664180212,80.08509613199931,93.03086312600135
50,6,-1,0.9720725426540623,0.9174256625144802,0.999832422104,0.936957142857,0.0210517757072,0.569534940326,81.81724861800103,94.59702500700223
50,7,-1,0.9727827338643937,0.9248120217954036,0.999816350516,0.938042857143,0.0142311143691,0.570010475331,81.84985374499956,92.49957442700179
50,8,-1,0.9733439111594182,0.9304087825179126,0.99980145224,0.937114285714,0.0108190611212,0.570376917654,85.05271201600044,93.03144854299899
50,9,-1,0.9738922743589377,0.9339784734636671,0.999787243703,0.935957142857,0.0117039846202,0.571148926319,87.5748116040013,93.41599300099915
100,1,-1,0.497737998941693,0.49745476595683824,0.999934286257,0.230571428571,-0.00699437792486,0.2451659814,47.31313613999737,116.71692468100082
100,2,-1,0.7374412582412082,0.5707363428342606,0.999909797767,0.603914285714,-0.0313424712325,0.3824364178,262.6576792509986,116.95471786299822
100,3,-1,0.9733815783075669,0.8322920812894183,0.999860153939,0.919,0.0383291647911,0.55262853409,88.17235670599985,108.89518689399847
